Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Essential
2016/10/18, 13:05:30, 34.664856, 135.214630, -127.84,  2268.00, 167, 0, 120.19, 1
2016/10/18, 13:23:36, 34.665813, 135.213760, 75.29,  936.00, 323, 0, 132.87, 1
2016/10/18, 13:38:02, 34.666122, 135.213287, 58.47,  6912.00, 308, 0, 55.24, 1
2016/10/18, 13:41:06, 34.666229, 135.213409, 41.82,  612.00, 43, 0, 16.31, 1
2016/10/18, 13:49:55, 34.666225, 135.213333, 34.52,  432.00, 266, 0, 6.96, 1
2016/10/18, 13:58:27, 34.665867, 135.213547, 62.60,  2016.00, 153, 0, 44.36, 1
2016/10/18, 13:59:30, 34.665833, 135.213867, 112.27,  4248.00, 97, 0, 29.51, 1
2016/10/18, 14:00:55, 34.665871, 135.213242, 71.77,  1188.00, 274, 0, 57.32, 1
2016/10/18, 14:02:02, 34.665989, 135.212906, 12.17,  5112.00, 293, 0, 33.41, 1
2016/10/18, 14:03:07, 34.665287, 135.214355, 156.55,  0.00, 120, 0, 153.80, 1
2016/10/18, 14:04:17, 34.665981, 135.213211, 39.38,  648.00, 306, 0, 130.01, 1
2016/10/18, 14:05:25, 34.665798, 135.213913, 171.67,  2196.00, 107, 0, 67.35, 1
2016/10/18, 14:06:28, 34.666122, 135.213760, 41.16,  3420.00, 338, 0, 38.65, 1
2016/10/18, 14:07:32, 34.666042, 135.213013, 18.21,  4500.00, 262, 0, 68.89, 1
2016/10/18, 14:08:35, 34.666103, 135.213165, -22.07,  2880.00, 63, 0, 15.47, 1
2016/10/18, 14:09:38, 34.666084, 135.213913, 263.93,  252.00, 91, 0, 68.44, 1
2016/10/18, 14:11:29, 34.666256, 135.213181, 13.92,  432.00, 285, 0, 69.62, 1
2016/10/18, 14:12:36, 34.665867, 135.213364, 136.18,  6408.00, 158, 0, 46.38, 1
2016/10/18, 14:13:43, 34.666317, 135.213089, -14.46,  3060.00, 333, 0, 56.00, 1
2016/10/18, 14:14:46, 34.666382, 135.212479, -53.23,  648.00, 277, 0, 56.25, 1
2016/10/18, 14:24:33, 34.666050, 135.213562, 59.01,  2916.00, 110, 0, 105.70, 1
2016/10/18, 14:25:59, 34.665787, 135.213684, 49.22,  3636.00, 159, 0, 31.30, 1
2016/10/18, 14:27:16, 34.666039, 135.213348, 19.80,  180.00, 312, 0, 41.59, 1
2016/10/18, 14:48:33, 34.665783, 135.214142, -5.39,  2052.00, 111, 0, 78.00, 1
2016/10/18, 14:50:05, 34.666302, 135.213181, -16.40,  5148.00, 303, 0, 105.14, 1
2016/10/18, 14:51:18, 34.665905, 135.213974, -22.10,  936.00, 121, 0, 84.90, 1
2016/10/18, 15:08:12, 34.666126, 135.213272, 25.51,  2556.00, 290, -4, 68.74, 1
2016/10/19, 09:55:13, 34.666126, 135.213272, 25.51,  2556.00, 0, -2, 0.00, 1
2016/10/19, 09:57:32, 34.662979, 135.223557, 830.46,  6444.00, 110, 0, 1003.62, 1
2016/10/19, 09:58:36, 34.666222, 135.213455, 28.69,  4428.00, 291, 0, 991.78, 1
2016/10/19, 09:59:39, 34.666016, 135.215134, 80.61,  12384.00, 98, 0, 155.25, 1
2016/10/19, 10:01:07, 34.666019, 135.214905, 111.21,  1440.00, 270, 0, 20.95, 1
2016/10/19, 10:02:45, 34.665810, 135.214569, 124.55,  792.00, 232, 0, 38.53, 1
2016/10/19, 10:04:40, 34.665783, 135.214111, 96.65,  2412.00, 265, 0, 41.99, 1
2016/10/19, 10:07:56, 34.665855, 135.213303, 31.34,  1116.00, 276, 0, 74.33, 1
2016/10/19, 10:09:35, 34.666405, 135.213394, 32.51,  396.00, 7, 0, 61.72, 1
2016/10/19, 10:14:14, 34.666306, 135.213379, 50.62,  7812.00, 187, 0, 11.09, 1
2016/10/19, 10:15:17, 34.666050, 135.213135, 26.83,  1908.00, 218, 0, 36.17, 1
2016/10/19, 10:16:40, 34.665810, 135.214264, 171.38,  972.00, 104, 0, 106.65, 1
2016/10/19, 10:21:39, 34.665695, 135.213379, 122.62,  2088.00, 261, 0, 81.94, 1
2016/10/19, 10:25:40, 34.666447, 135.213394, -19.87,  1728.00, 0, 0, 83.63, 1
2016/10/19, 10:30:48, 34.666203, 135.213135, -23.29,  1008.00, 221, 0, 36.02, 1
2016/10/19, 10:50:47, 34.666203, 135.213135, -23.29,  1008.00, 0, 0, 0.00, 1
2016/10/19, 11:09:38, 34.664825, 135.203720, 3965.57,  18324.00, 259, 0, 874.59, 1
2016/10/19, 11:22:11, 34.666458, 135.213501, -25.75,  1224.00, 78, 0, 912.78, 1
2016/10/19, 11:34:53, 34.665867, 135.213013, 21.77,  1368.00, 214, 0, 79.44, 1
2016/10/19, 12:00:29, 34.665958, 135.214462, -111.10,  1512.00, 85, 0, 132.91, 1
2016/10/19, 12:14:02, 34.666203, 135.213547, -29.57,  1188.00, 288, 0, 88.00, 1
2016/10/19, 12:24:04, 34.665455, 135.214340, -92.10,  1980.00, 138, 0, 110.35, 1
2016/10/19, 12:43:55, 34.666325, 135.212967, 46.82,  1476.00, 307, 0, 158.51, 1
2016/10/19, 13:01:22, 34.666325, 135.212967, 46.82,  1476.00, 0, 0, 0.00, 1
2016/10/19, 13:07:54, 34.666042, 135.213348, -23.02,  2520.00, 132, 0, 46.95, 1
2016/10/19, 13:09:01, 34.665855, 135.213654, 11.51,  9108.00, 126, 0, 34.86, 1
2016/10/19, 13:10:05, 34.666275, 135.213287, 29.95,  1548.00, 324, 0, 57.51, 1
2016/10/19, 13:11:25, 34.666225, 135.213776, 115.72,  14364.00, 97, 0, 45.07, 1
2016/10/19, 13:12:54, 34.666031, 135.213654, 106.15,  0.00, 207, 0, 24.29, 1
2016/10/19, 13:14:00, 34.665951, 135.213699, 101.34,  1980.00, 155, 0, 9.80, 1
2016/10/19, 13:15:44, 34.665905, 135.213913, 105.72,  1188.00, 104, 0, 20.23, 1
2016/10/19, 13:17:35, 34.666042, 135.213699, 80.54,  1728.00, 307, 0, 24.80, 1
2016/10/19, 13:37:46, 34.665703, 135.213852, 128.62,  2484.00, 159, 0, 40.21, 1
2016/10/19, 13:40:29, 34.665192, 135.214981, 212.92,  4680.00, 118, 0, 117.86, 1
2016/10/19, 14:07:32, 34.666470, 135.213364, 59.72,  2232.00, 313, 0, 205.10, 1
2016/10/19, 15:00:39, 34.666470, 135.213364, 59.72,  2232.00, 0, 0, 0.00, 1
2016/10/19, 15:01:56, 34.665878, 135.212906, 102.70,  7451.00, 212, 0, 78.02, 1
2016/10/19, 22:07:23, 34.665878, 135.212906, 102.70,  7451.00, 0, -4, 0.00, 1
2016/10/20, 07:32:31, 34.666126, 135.212402, 357.26,  1008.00, 0, -2, 0.00, 1
2016/10/20, 07:34:29, 34.666386, 135.210052, 1273.45,  2664.00, 277, 0, 216.86, 1
2016/10/20, 07:42:49, 34.666386, 135.210052, 1273.45,  2664.00, 0, 0, 0.00, 1
2016/10/20, 07:44:00, 34.666672, 135.213303, -73.65,  468.00, 83, 0, 299.02, 1
2016/10/20, 08:52:22, 34.666672, 135.213303, -73.65,  468.00, 0, 0, 0.00, 1
2016/10/20, 08:53:36, 34.665726, 135.214111, 110.04,  3060.00, 144, 0, 128.55, 1
2016/10/20, 13:57:06, 34.665726, 135.214111, 110.04,  3060.00, 0, 0, 0.00, 1
2016/10/20, 14:00:44, 34.666248, 135.213943, 61.14,  6588.00, 345, 0, 60.04, 1
2016/10/20, 14:14:21, 34.666061, 135.213486, 50.87,  792.00, 243, 0, 46.68, 1
2016/10/20, 14:49:35, 34.665874, 135.213745, 38.74,  4140.00, 131, 0, 31.52, 1
2016/10/20, 14:50:39, 34.665970, 135.213669, 25.87,  6660.00, 326, 0, 12.74, 1
2016/10/20, 14:52:06, 34.665836, 135.214066, 16.46,  1512.00, 112, 0, 39.25, 1
2016/10/20, 14:55:11, 34.665924, 135.213943, 4.25,  2520.00, 311, 0, 14.91, 1
2016/10/20, 14:58:13, 34.665779, 135.213882, 53.68,  2412.00, 199, 0, 17.06, 1
2016/10/20, 15:04:49, 34.665962, 135.213959, 36.71,  4644.00, 19, 0, 21.53, 1
2016/10/20, 15:08:23, 34.665844, 135.214142, 38.28,  0.00, 128, 0, 21.27, 1
2016/10/20, 15:11:34, 34.666355, 135.215546, 293.19,  5976.00, 66, 0, 140.41, 1
2016/10/20, 15:13:58, 34.666355, 135.215546, 293.19,  5976.00, 0, 0, 0.00, 1
2016/10/20, 15:15:28, 34.666042, 135.213333, 61.89,  4428.00, 260, 0, 205.36, 1
2016/10/20, 15:28:48, 34.666042, 135.213333, 61.89,  4428.00, 0, 0, 0.00, 1
2016/10/20, 15:29:58, 34.662941, 135.222687, 3246.14,  5256.00, 111, 0, 922.37, 1
2016/10/20, 15:41:47, 34.662941, 135.222687, 3246.14,  5256.00, 0, 0, 0.00, 1
2016/10/20, 15:43:13, 34.667221, 135.224182, 2007.86,  11124.00, 16, 0, 495.17, 1
2016/10/20, 15:47:01, 34.667221, 135.224182, 2007.86,  11124.00, 0, 0, 0.00, 1
2016/10/20, 15:49:20, 34.667324, 135.214493, 242.28,  3672.00, 270, 0, 886.18, 1
2016/10/20, 15:50:45, 34.667156, 135.213821, 197.37,  9036.00, 253, 0, 64.23, 1
2016/10/20, 15:53:40, 34.667248, 135.214249, 184.02,  3420.00, 75, 0, 40.46, 1
2016/10/20, 17:20:10, 34.667248, 135.214249, 184.02,  3420.00, 0, 0, 0.00, 1
2016/10/20, 17:22:02, 34.666149, 135.213577, 24.95,  3852.00, 206, 0, 136.79, 1
2016/10/20, 21:51:32, 34.666149, 135.213577, 24.95,  3852.00, 0, 0, 0.00, 1
2016/10/20, 22:00:55, 34.692577, 135.200134, 39.61,  4716.00, 337, 0, 3185.40, 1
2016/10/20, 22:02:27, 34.692223, 135.200180, 52.54,  900.00, 173, 0, 39.59, 1
2016/10/20, 23:15:47, 34.692085, 135.199860, -64.16,  1008.00, 242, 0, 33.04, 1
2016/10/20, 23:59:04, 34.691875, 135.199585, -170.47,  900.00, 227, -4, 34.31, 1
2016/10/21, 00:08:45, 34.691952, 135.199890, -72.55,  1152.00, 0, -2, 0.00, 1
2016/10/21, 07:17:18, 34.691952, 135.199890, -72.55,  1152.00, 0, 0, 0.00, 1
2016/10/21, 07:24:27, 34.691727, 135.199448, 156.16,  3348.00, 238, 0, 47.53, 1
2016/10/21, 07:25:31, 34.691158, 135.200424, -5.47,  3996.00, 125, 0, 109.39, 1
2016/10/21, 07:26:40, 34.691006, 135.199814, 21.69,  3744.00, 253, 0, 58.28, 1
2016/10/21, 07:27:45, 34.689842, 135.199585, 97.32,  3636.00, 189, 0, 131.11, 1
2016/10/21, 07:28:59, 34.690151, 135.198227, 104.97,  612.00, 285, 0, 128.83, 1
2016/10/21, 07:30:05, 34.689713, 135.199631, 24.16,  1872.00, 110, 0, 137.30, 1
2016/10/21, 07:31:12, 34.688572, 135.200104, 153.60,  16920.00, 161, 0, 134.04, 1
2016/10/21, 07:32:42, 34.689304, 135.199524, 36.67,  11520.00, 326, 0, 97.15, 1
2016/10/21, 07:33:52, 34.684517, 135.201248, 52.89,  24372.00, 163, 0, 555.14, 1
2016/10/21, 07:35:01, 34.681229, 135.202576, -6.19,  1512.00, 161, 0, 385.25, 1
2016/10/21, 07:36:05, 34.677052, 135.204880, 82.01,  15012.00, 155, 0, 510.01, 1
2016/10/21, 07:37:12, 34.673191, 135.207306, 77.98,  3420.00, 152, 0, 483.25, 1
2016/10/21, 07:38:17, 34.670231, 135.209137, 148.55,  55008.00, 153, 0, 369.28, 1
2016/10/21, 07:39:24, 34.668453, 135.210297, 28.20,  2196.00, 151, 0, 224.37, 1
2016/10/21, 07:40:27, 34.664303, 135.212326, 125.65,  2160.00, 158, 0, 497.37, 1
2016/10/21, 07:41:37, 34.664886, 135.212677, 199.17,  0.00, 26, 0, 72.34, 1
2016/10/21, 07:42:41, 34.665634, 135.212845, 30.31,  0.00, 10, 0, 84.58, 1
2016/10/21, 07:43:45, 34.665287, 135.213699, 0.41,  0.00, 116, 0, 87.11, 1
2016/10/21, 07:44:56, 34.665287, 135.213699, 0.41,  0.00, 0, 0, 0.00, 1
2016/10/21, 07:46:00, 34.665947, 135.212326, 97.04,  5328.00, 300, 0, 145.44, 1
2016/10/21, 07:47:26, 34.666439, 135.212662, 54.43,  2520.00, 29, 0, 62.75, 1
2016/10/21, 07:48:58, 34.666336, 135.212341, 91.80,  180.00, 248, 0, 31.51, 1
2016/10/21, 07:50:46, 34.666080, 135.213013, 21.36,  2016.00, 114, 0, 67.73, 1
2016/10/21, 07:53:19, 34.666264, 135.213058, 136.73,  1800.00, 11, 0, 20.87, 1
2016/10/21, 07:58:28, 34.665958, 135.212540, 112.72,  1800.00, 234, 0, 58.33, 1
2016/10/21, 08:04:16, 34.665958, 135.212540, 112.72,  1800.00, 0, 0, 0.00, 1
2016/10/21, 08:05:51, 34.665852, 135.211960, 73.77,  2232.00, 257, 0, 54.34, 1
2016/10/21, 08:07:28, 34.666065, 135.214203, 4.91,  0.00, 83, 0, 206.50, 1
2016/10/21, 08:08:58, 34.666065, 135.214203, 4.91,  0.00, 0, 0, 0.00, 1
2016/10/21, 08:11:06, 34.666107, 135.213455, -5.26,  0.00, 273, 0, 68.57, 1
2016/10/21, 08:13:09, 34.666107, 135.213455, -5.26,  0.00, 0, 0, 0.00, 1
2016/10/21, 08:14:24, 34.666199, 135.213516, -32.43,  2340.00, 28, 0, 11.65, 1
2016/10/21, 08:18:23, 34.666199, 135.213516, -32.43,  2340.00, 0, 0, 0.00, 1
2016/10/21, 08:19:46, 34.663906, 135.209610, 228.89,  5580.00, 234, 0, 438.89, 1
2016/10/21, 08:24:35, 34.663906, 135.209610, 228.89,  5580.00, 0, 0, 0.00, 1
2016/10/21, 08:26:08, 34.665272, 135.213943, 242.92,  648.00, 69, 0, 424.40, 1
2016/10/21, 08:27:20, 34.665272, 135.213943, 242.92,  648.00, 0, 0, 0.00, 1
2016/10/21, 08:28:24, 34.666412, 135.213760, 15.15,  2232.00, 352, 0, 127.86, 1
2016/10/21, 08:29:36, 34.665989, 135.214081, 7.97,  1908.00, 148, 0, 55.45, 1
2016/10/21, 08:30:50, 34.665394, 135.214005, 113.15,  1116.00, 185, 0, 66.53, 1
2016/10/21, 08:31:54, 34.666142, 135.213989, 82.68,  2124.00, 358, 0, 83.19, 1
2016/10/21, 08:33:10, 34.665794, 135.214401, 37.85,  1404.00, 135, 0, 54.01, 1
2016/10/21, 08:34:52, 34.665180, 135.214401, -87.75,  828.00, 180, 0, 68.27, 1
2016/10/21, 08:36:38, 34.665154, 135.214279, -59.42,  3636.00, 255, 0, 11.53, 1
2016/10/21, 08:38:21, 34.665607, 135.214447, -92.10,  1476.00, 16, 0, 52.66, 1
2016/10/21, 08:39:57, 34.665207, 135.214371, -104.85,  1692.00, 188, 0, 45.02, 1
2016/10/21, 08:41:21, 34.665722, 135.212936, 79.57,  4464.00, 293, 0, 143.19, 1
2016/10/21, 08:42:33, 34.665020, 135.213623, 144.10,  2268.00, 141, 0, 100.20, 1
2016/10/21, 08:43:42, 34.665379, 135.214371, -12.18,  1440.00, 59, 0, 79.20, 1
2016/10/21, 08:44:54, 34.665302, 135.214050, -7.06,  504.00, 253, 0, 30.58, 1
2016/10/21, 08:46:07, 34.665249, 135.213974, 78.49,  288.00, 229, 0, 9.11, 1
2016/10/21, 08:47:11, 34.665337, 135.214279, -26.96,  0.00, 70, 0, 29.56, 1
2016/10/21, 08:48:14, 34.665867, 135.213989, -51.45,  4896.00, 335, 0, 64.63, 1
2016/10/21, 08:49:23, 34.665134, 135.213898, 72.58,  504.00, 185, 0, 81.93, 1
2016/10/21, 08:50:27, 34.665379, 135.214310, 35.22,  2700.00, 54, 0, 46.50, 1
2016/10/21, 08:51:31, 34.665760, 135.214600, -31.73,  0.00, 32, 0, 49.98, 1
2016/10/21, 08:52:45, 34.665905, 135.214294, 86.48,  2520.00, 299, 0, 32.30, 1
2016/10/21, 08:53:51, 34.664368, 135.214142, -17.30,  0.00, 184, 0, 171.47, 1
2016/10/21, 08:55:00, 34.665276, 135.214325, 86.52,  1296.00, 9, 0, 102.34, 1
2016/10/21, 08:56:21, 34.665974, 135.214508, 87.16,  612.00, 12, 0, 79.40, 1
2016/10/21, 08:57:30, 34.665726, 135.214554, 46.51,  11412.00, 171, 0, 27.90, 1
2016/10/21, 08:58:34, 34.666023, 135.214676, 28.50,  0.00, 18, 0, 34.86, 1
2016/10/21, 08:59:39, 34.665733, 135.214279, 101.94,  0.00, 228, 0, 48.56, 1
2016/10/21, 09:00:54, 34.665257, 135.214218, 105.23,  144.00, 186, 0, 53.22, 1
2016/10/21, 09:01:58, 34.665688, 135.214600, 80.36,  0.00, 36, 0, 59.31, 1
2016/10/21, 09:03:21, 34.665470, 135.214294, 98.37,  972.00, 229, 0, 37.02, 1
2016/10/21, 09:04:36, 34.665176, 135.214355, 65.08,  1800.00, 170, 0, 33.16, 1
2016/10/21, 09:05:40, 34.666031, 135.214600, 92.72,  468.00, 13, 0, 97.68, 1
2016/10/21, 09:06:42, 34.665123, 135.214371, 22.73,  1368.00, 191, 0, 103.11, 1
2016/10/21, 09:07:51, 34.666500, 135.214645, 88.79,  3636.00, 9, 0, 155.15, 1
2016/10/21, 09:09:21, 34.665302, 135.214157, 181.25,  6264.00, 198, 0, 140.49, 1
2016/10/21, 09:10:36, 34.665791, 135.214523, 151.83,  2016.00, 31, 0, 63.85, 1
2016/10/21, 09:11:40, 34.665062, 135.214264, 56.78,  540.00, 196, 0, 84.45, 1
2016/10/21, 09:12:49, 34.667877, 135.215164, -310.54,  8712.00, 14, 0, 323.65, 1
2016/10/21, 09:13:53, 34.666309, 135.214645, 5.98,  3600.00, 195, 0, 180.70, 1
2016/10/21, 10:08:16, 34.666309, 135.214645, 5.98,  3600.00, 0, 0, 0.00, 1
2016/10/21, 10:09:41, 34.665901, 135.212616, 79.06,  8604.00, 256, 0, 191.03, 1
2016/10/21, 10:15:43, 34.665901, 135.212616, 79.06,  8604.00, 0, 0, 0.00, 1
2016/10/21, 10:17:23, 34.666092, 135.213974, -39.51,  0.00, 80, 0, 126.00, 1
2016/10/21, 10:18:54, 34.666092, 135.213974, -39.51,  0.00, 0, 0, 0.00, 1
2016/10/21, 10:20:45, 34.666687, 135.213638, 54.15,  0.00, 335, 0, 72.95, 1
2016/10/21, 10:39:17, 34.666687, 135.213638, 54.15,  0.00, 0, 0, 0.00, 1
2016/10/21, 10:41:03, 34.667171, 135.215714, 103.59,  0.00, 74, 0, 197.34, 1
2016/10/21, 11:23:40, 34.667171, 135.215714, 103.59,  0.00, 0, 0, 0.00, 1
2016/10/21, 11:25:22, 34.666843, 135.212311, 138.07,  3024.00, 263, 0, 313.35, 1
2016/10/21, 11:27:03, 34.666843, 135.212311, 138.07,  3024.00, 0, 0, 0.00, 1
2016/10/21, 11:28:57, 34.666206, 135.212708, 110.69,  3564.00, 152, 0, 79.59, 1
2016/10/21, 11:34:16, 34.666206, 135.212708, 110.69,  3564.00, 0, 0, 0.00, 1
2016/10/21, 11:36:02, 34.666569, 135.212708, -43.52,  1404.00, 0, 0, 40.36, 1
2016/10/21, 11:37:07, 34.666435, 135.212494, -43.73,  6120.00, 232, 0, 24.60, 1
2016/10/21, 11:38:54, 34.666332, 135.212692, -6.07,  5400.00, 122, 0, 21.43, 1
2016/10/21, 11:40:39, 34.666332, 135.212692, -6.07,  5400.00, 0, 0, 0.00, 1
2016/10/21, 11:44:39, 34.665295, 135.213425, 207.03,  396.00, 149, 0, 133.38, 1
2016/10/21, 11:46:28, 34.665401, 135.213623, 137.27,  936.00, 56, 0, 21.61, 1
2016/10/21, 11:50:01, 34.665554, 135.214020, 52.34,  936.00, 64, 0, 40.10, 1
2016/10/21, 11:52:10, 34.665981, 135.214432, 174.75,  1656.00, 38, 0, 60.61, 1
2016/10/21, 11:53:22, 34.665619, 135.214188, 67.35,  3708.00, 209, 0, 46.02, 1
2016/10/21, 11:54:46, 34.665520, 135.214447, 38.33,  3132.00, 114, 0, 26.12, 1
2016/10/21, 11:56:13, 34.665787, 135.214462, 56.70,  1980.00, 2, -4, 29.72, 1
