Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Essential
2016/10/18, 11:01:28,34.666035,135.213165,19.7,648,0,-2,0,1
2016/10/18, 11:07:58,34.666035,135.213165,19.7,324,0,0,0,1
2016/10/18, 11:10:39,34.666023,135.213013,-20.03,1656,264,-4,13.97,1
2016/10/18, 11:12:28,34.666069,135.213669,68.92,2088,0,-2,0,1
2016/10/18, 11:14:08,34.666054,135.213516,50.98,324,263,0,14.09,1
2016/10/18, 11:15:48,34.666203,135.213348,37.3,3276,317,-4,22.6,1
2016/10/18, 11:18:35,34.666172,135.213852,96.27,612,0,-2,0,1
2016/10/18, 11:19:37,34.666142,135.213623,78.77,468,260,0,21.21,1
2016/10/18, 11:41:55,34.666233,135.213028,45.73,49104,280,0,55.35,1
2016/10/18, 11:56:13,34.666195,135.214218,175.44,4428,92,0,108.91,1
2016/10/18, 12:10:59,34.666195,135.214218,175.44,4428,0,0,0,1
2016/10/18, 12:20:04,34.665874,135.213715,10.03,5292,232,0,58.23,1
2016/10/18, 12:34:12,34.665798,135.213837,-9.52,8892,127,0,14,1
2016/10/18, 12:44:37,34.666355,135.211151,-97.28,27792,284,0,253.34,1
2016/10/18, 13:48:23,34.665501,135.214966,248.75,2952,105,0,361.6,1
2016/10/18, 14:00:18,34.665932,135.213699,85.57,1008,292,0,125.39,1
2016/10/18, 14:19:59,34.666363,135.212982,-2.9,2988,306,0,81.22,1
2016/10/18, 14:31:21,34.666138,135.213287,40.07,4968,131,0,37.47,1
2016/10/18, 19:48:09,34.666138,135.213287,40.07,4968,0,0,0,1
2016/10/18, 19:59:16,34.665882,135.212906,103.56,3132,230,0,44.99,1
2016/10/18, 20:01:05,34.6665,135.212738,51.14,360,347,0,70.42,1
2016/10/18, 20:32:34,34.666065,135.212692,82.52,900,184,0,48.55,1
2016/10/18, 21:01:36,34.666592,135.212769,-29.27,1332,6,-4,59.02,1
2016/10/19, 09:55:42,34.666592,135.212769,-29.27,1332,0,-2,0,1
2016/10/19, 10:01:07,34.663635,135.212555,287.24,288,183,0,329.39,1
2016/10/19, 10:03:02,34.665676,135.214615,178.08,3672,39,0,294.96,1
2016/10/19, 10:27:08,34.665676,135.214615,178.08,3672,0,0,0,1
2016/10/19, 10:52:37,34.666248,135.213776,57.72,0,309,0,99.67,1
2016/10/19, 11:09:30,34.666248,135.213776,57.72,0,0,0,0,1
2016/10/19, 11:37:11,34.669365,135.201492,3121.19,10620,287,0,1175.67,1
2016/10/19, 11:41:21,34.667812,135.207153,1435.16,5112,108,0,545.76,1
2016/10/19, 12:16:09,34.666553,135.213089,91.61,3240,104,0,560.63,1
2016/10/19, 12:31:29,34.66695,135.212555,103.18,19296,312,0,65.83,1
2016/10/19, 12:52:49,34.665867,135.21344,120.75,2808,146,0,145.1,1
2016/10/19, 13:11:39,34.666271,135.21312,38.81,2628,326,0,53.61,1
2016/10/19, 13:13:00,34.665512,135.214935,194.38,7272,116,0,186.22,1
2016/10/19, 13:41:06,34.665661,135.213745,52.55,612,278,0,110.09,1
2016/10/19, 13:42:14,34.665478,135.214905,212.6,5400,100,0,108.02,1
2016/10/19, 13:44:08,34.665668,135.214157,151.79,6660,287,0,71.6,1
2016/10/19, 13:50:57,34.665405,135.214554,165.07,6768,128,0,46.62,1
2016/10/19, 13:53:10,34.666172,135.21373,111.8,324,318,0,113.81,1
2016/10/19, 13:56:34,34.665157,135.214996,228.06,108,134,0,161.69,1
2016/10/19, 14:01:08,34.665363,135.21463,192.07,4680,304,0,40.56,1
2016/10/19, 14:07:11,34.666386,135.213303,8.61,5472,313,-4,166.34,1
2016/10/20, 07:33:08,34.666386,135.213303,8.61,5472,0,-2,0,1
2016/10/20, 07:41:02,34.666439,135.212845,160.96,1728,278,0,42.3,1
2016/10/20, 09:53:18,34.666439,135.212845,160.96,1728,0,0,0,1
2016/10/20, 09:58:13,34.666321,135.213364,50.83,972,105,0,49.25,1
2016/10/20, 10:00:35,34.666321,135.213364,50.83,972,0,0,0,1
2016/10/20, 10:31:19,34.666153,135.214294,114.35,1296,102,0,87.08,1
2016/10/20, 10:48:56,34.666153,135.214294,114.35,1296,0,0,0,1
2016/10/20, 10:59:40,34.666252,135.21344,-4.95,0,278,0,78.88,1
2016/10/20, 11:57:21,34.666252,135.21344,-4.95,0,0,0,0,1
2016/10/20, 12:02:36,34.666222,135.213425,22.29,2124,202,0,3.61,1
2016/10/20, 12:03:47,34.666714,135.212708,8.75,2268,309,0,85.4,1
2016/10/20, 13:19:37,34.666374,135.213303,32.37,0,124,0,66.26,1
2016/10/20, 13:20:41,34.666122,135.213409,55.39,0,160,0,29.65,1
2016/10/20, 13:23:49,34.665932,135.213623,58.78,1332,137,0,28.8,1
2016/10/20, 13:25:13,34.666191,135.213272,11.83,1188,311,0,43.13,1
2016/10/20, 13:26:34,34.665974,135.213608,72.33,2088,128,0,39.07,1
2016/10/20, 13:27:43,34.666016,135.213593,59.08,3744,343,0,4.87,1
2016/10/20, 13:29:10,34.666264,135.213303,44.91,3204,316,0,38.26,1
2016/10/20, 13:30:15,34.66576,135.214188,99.38,6588,124,0,98.45,1
