Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Essential
2016/10/19, 08:01:53, 34.692364, 135.198380, 58.22,  0.00, 154, 0, 22.58, 1
2016/10/19, 08:03:00, 34.692696, 135.198151, -9.60,  5652.00, 330, 0, 42.44, 1
2016/10/19, 08:04:12, 34.692696, 135.198151, -9.60,  5652.00, 0, 0, 0.00, 1
2016/10/19, 08:05:49, 34.693188, 135.198547, -7.93,  6228.00, 33, 0, 65.60, 1
2016/10/19, 08:12:23, 34.692589, 135.198746, 14.25,  3996.00, 164, 0, 69.05, 1
2016/10/19, 08:28:32, 34.692654, 135.198196, 28.25,  1368.00, 278, 0, 50.80, 1
2016/10/19, 08:29:40, 34.692822, 135.198517, 1.96,  288.00, 57, 0, 34.79, 1
2016/10/19, 08:30:49, 34.692863, 135.198441, 67.97,  1368.00, 303, 0, 8.31, 1
2016/10/19, 08:31:55, 34.692234, 135.198318, 53.83,  0.00, 189, 0, 70.84, 1
2016/10/19, 08:33:05, 34.691246, 135.197556, 438.61,  1548.00, 212, 0, 130.09, 1
2016/10/19, 08:34:10, 34.691021, 135.198486, 134.48,  0.00, 106, 0, 88.63, 1
2016/10/19, 08:35:17, 34.690723, 135.198761, 32.41,  2988.00, 142, 0, 41.60, 1
2016/10/19, 08:36:22, 34.689968, 135.199356, 30.53,  4608.00, 147, 0, 100.04, 1
2016/10/19, 08:37:26, 34.689213, 135.199829, 96.63,  0.00, 152, 0, 94.44, 1
2016/10/19, 08:38:31, 34.688099, 135.198944, 460.03,  0.00, 213, 0, 147.96, 1
2016/10/19, 08:39:36, 34.689465, 135.199524, 9.53,  5976.00, 19, 0, 160.88, 1
2016/10/19, 08:42:00, 34.689465, 135.199524, 9.53,  5976.00, 0, 0, 0.00, 1
2016/10/19, 08:43:11, 34.681232, 135.202591, -31.63,  4464.00, 162, 0, 957.46, 1
2016/10/19, 08:44:27, 34.676208, 135.205963, 4.20,  27396.00, 151, 0, 638.09, 1
2016/10/19, 08:45:40, 34.676208, 135.205963, 4.20,  27396.00, 0, 0, 0.00, 1
2016/10/19, 08:46:44, 34.671650, 135.208557, 5.81,  60912.00, 154, 0, 559.59, 1
2016/10/19, 08:47:49, 34.668926, 135.210175, -9.49,  5724.00, 153, 0, 337.11, 1
2016/10/19, 08:48:53, 34.664795, 135.212616, 0.53,  21132.00, 154, 0, 510.72, 1
2016/10/19, 08:49:58, 34.664742, 135.213074, -23.59,  2484.00, 98, 0, 42.30, 1
2016/10/19, 08:51:07, 34.664864, 135.212555, 96.02,  1620.00, 285, 0, 49.37, 1
2016/10/19, 08:52:15, 34.665600, 135.213486, 17.68,  936.00, 46, 0, 118.10, 1
2016/10/19, 08:54:39, 34.665600, 135.213486, 17.68,  936.00, 0, 0, 0.00, 1
2016/10/19, 08:55:46, 34.665756, 135.213104, 37.28,  3420.00, 296, 0, 39.01, 1
2016/10/19, 08:56:50, 34.666668, 135.213074, 55.58,  0.00, 358, 0, 101.45, 1
2016/10/19, 08:57:54, 34.665897, 135.213257, 34.11,  0.00, 168, 0, 87.35, 1
2016/10/19, 09:23:11, 34.665291, 135.213547, 50.30,  2808.00, 158, 0, 72.42, 1
2016/10/19, 10:38:45, 34.665291, 135.213547, 50.30,  2808.00, 0, 0, 0.00, 1
2016/10/19, 10:40:19, 34.666267, 135.212875, 3.15,  23616.00, 330, 0, 124.72, 1
2016/10/19, 10:51:03, 34.666267, 135.212875, 3.15,  23616.00, 0, 0, 0.00, 1
2016/10/19, 10:53:46, 34.666481, 135.213074, -21.93,  3384.00, 37, 0, 29.96, 1
2016/10/19, 10:55:23, 34.666843, 135.212784, -25.64,  0.00, 326, 0, 48.20, 1
