Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Essential
2016/10/17, 11:18:05,34.666027,135.213867,71.92,468,0,-2,0,1
2016/10/17, 11:24:25,34.665825,135.214401,-27.23,972,114,0,53.76,1
2016/10/17, 12:04:03,34.665825,135.214401,-27.23,972,0,-4,0,1
2016/10/17, 12:05:39,34.665886,135.214172,177.23,468,0,-2,0,1
2016/10/17, 12:06:46,34.665756,135.214111,151.22,576,201,0,15.49,1
2016/10/17, 12:07:54,34.666218,135.214157,226.02,216,4,0,51.54,1
2016/10/17, 12:14:18,34.666584,135.212845,29.59,6732,288,0,126.7,1
2016/10/17, 12:15:22,34.665665,135.215149,-124.24,756,115,0,234.19,1
2016/10/17, 12:17:19,34.666325,135.213181,13.75,0,292,-4,194.37,1
2016/10/17, 12:22:28,34.666023,135.213364,46.91,0,0,-2,0,1
2016/10/17, 12:23:31,34.666145,135.213303,37.46,7344,337,0,14.67,1
2016/10/17, 12:24:36,34.665298,135.214645,-71.85,0,127,0,154.71,1
2016/10/17, 12:25:56,34.665836,135.214417,35.79,1476,340,0,63.35,1
2016/10/17, 12:27:24,34.665565,135.213699,-32.4,3564,245,0,72.25,1
2016/10/17, 12:28:28,34.66571,135.213638,0.02,6984,340,0,17.06,1
2016/10/17, 12:29:40,34.665089,135.214233,-111.74,396,141,0,87.92,1
2016/10/17, 12:30:47,34.665585,135.213486,-38.03,144,308,0,87.8,1
2016/10/17, 12:31:51,34.666199,135.212952,8.91,0,324,0,83.94,1
2016/10/17, 12:33:42,34.6646,135.214325,-123.29,16020,144,0,217.67,1
2016/10/17, 12:36:05,34.6646,135.214325,-123.29,16020,0,0,0,1
2016/10/17, 12:37:34,34.66618,135.211929,36.82,1728,308,0,280.86,1
2016/10/17, 12:38:40,34.666908,135.212799,8.13,1332,44,0,113.51,1
2016/10/17, 12:41:19,34.666908,135.212799,8.13,1332,0,0,0,1
2016/10/17, 12:42:42,34.667572,135.212753,71.63,9576,356,0,73.95,1
2016/10/17, 12:44:23,34.668037,135.212723,130.69,9108,356,0,51.78,1
2016/10/17, 13:32:11,34.668037,135.212723,130.69,9108,0,0,0,1
2016/10/17, 13:33:22,34.667187,135.212662,8.54,1620,183,0,94.68,1
2016/10/17, 13:34:35,34.667286,135.212173,14.07,1188,283,0,46.06,1
2016/10/17, 13:35:42,34.666847,135.212418,140.24,3276,155,0,53.71,1
2016/10/17, 13:36:49,34.666729,135.212097,34.71,1368,245,0,32.16,1
2016/10/17, 13:37:55,34.666393,135.212448,-63.32,0,139,0,49.26,1
2016/10/17, 13:38:59,34.665951,135.214081,92.37,1548,108,0,157.23,1
2016/10/17, 13:40:14,34.665951,135.214081,92.37,1548,0,0,0,1
2016/10/17, 13:41:23,34.666389,135.213409,122.6,864,308,0,78.42,1
2016/10/17, 13:43:57,34.666389,135.213409,122.6,864,0,0,0,1
2016/10/17, 13:46:02,34.665871,135.212769,11.17,1152,225,0,82.12,1
2016/10/17, 14:01:04,34.665062,135.211563,378.18,0,230,0,142.33,1
2016/10/17, 15:19:51,34.665062,135.211563,378.18,0,0,0,0,1
2016/10/17, 15:20:57,34.666248,135.212967,21.29,3996,44,0,184.06,1
2016/10/17, 15:22:08,34.666538,135.212906,221.91,6048,350,0,32.73,1
2016/10/17, 15:23:18,34.66647,135.212982,164.42,6552,137,0,10.27,1
2016/10/17, 15:31:40,34.665504,135.212906,-57.22,4032,183,0,107.64,1
2016/10/17, 15:32:46,34.666306,135.213455,-15.37,0,29,0,102.34,1
2016/10/17, 15:34:11,34.665478,135.213013,-59.46,0,203,0,100.55,1
2016/10/17, 15:35:26,34.665478,135.213013,-59.46,0,0,0,0,1
2016/10/17, 15:37:29,34.665554,135.213043,-47.2,2376,17,0,8.89,1
2016/10/17, 15:39:19,34.666107,135.212753,-51.11,3960,336,0,66.97,1
2016/10/17, 15:40:26,34.666039,135.214523,162.76,2628,92,0,162.05,1
2016/10/17, 15:42:50,34.666039,135.214523,162.76,2628,0,0,0,1
2016/10/17, 15:43:55,34.666016,135.212311,21.16,1332,269,0,202.32,1
2016/10/17, 15:45:23,34.665882,135.212158,140.92,3456,223,0,20.44,1
