lat,long,label
34.6883,135.271,神戸ファッションプラザ
34.6884,135.194,神戸らんぷミュージアム
34.6886,135.199,神戸サンボーホール
34.689,135.475,野田駅 (JR西日本)
34.689,135.84,東大寺盧舎那仏像
34.6894,135.199,貿易センター駅
34.6894,135.192,神戸朝日ビル
34.6896,135.187,元町駅 (兵庫県)
34.6896,135.476,玉川駅 (大阪府)
34.6902,135.516,京阪シティモール
34.6907,135.195,花時計 (神戸市)
34.6907,135.504,今橋 (大阪市)
34.6909,135.472,福島警察署 (大阪府)
34.6909,135.184,県庁前駅 (兵庫県)
34.6909,135.487,中之島駅
34.6911,135.517,天満橋
34.6911,135.508,大阪証券ビル本館
34.6912,135.532,シアターBRAVA!
34.6914,135.496,肥後橋駅
34.6916,135.196,三宮・花時計前駅
34.6916,135.503,北浜
34.6917,135.194,三宮ビブレ
34.6917,135.491,中之島 (大阪府)
34.693,135.195,そごう神戸店
34.6938,135.495,渡辺橋駅
34.6938,135.502,大阪市庁舎
34.6943,135.526,大阪城北詰駅
34.6945,135.49,大阪高等検察庁
34.6945,135.503,水晶橋
34.6946,135.193,北向地蔵 (神戸市)
34.6946,135.194,三宮駅
34.695,135.486,新福島駅
34.6951,135.495,堂島
34.6958,135.504,大阪地方裁判所
34.696,135.488,福島駅 (阪神)
34.696,135.513,大阪天満宮
34.6961,135.214,なぎさ公園 (神戸市)
34.6961,135.511,大阪市消防局
34.6963,135.53,京橋花月
34.6965,134.906,魚住駅
34.6974,135.185,神戸 はばたきの坂
34.6974,135.185,神戸移住センター
34.6975,135.187,旧キャセリン・アンダーセン邸
34.6977,135.511,南森町
34.6979,135.187,シュウエケ邸
34.6981,135.521,泉布観
34.6981,135.49,ゲートタワービル
34.6982,135.6,鴻池新田
34.6983,135.491,毎日新聞大阪本社
34.6983,135.497,北新地駅
34.6994,135.03,西神南駅
34.6994,135.528,網島駅
34.7,134.888,東二見駅
34.7004,135.206,中村八幡神社 (神戸市)
34.701,135.189,旧シャープ住宅
34.7013,135.19,北野町山本通
34.7019,135.56,今福鶴見駅
34.7025,135.217,東神戸駅
34.7025,135.677,生駒山麓公園
34.703,135.191,うろこの家・うろこ美術館
34.703,135.205,春日野道駅 (阪神)
34.7044,135.834,奈良豆比古神社の翁舞
34.7049,135.375,武庫川団地前駅
34.7053,135.494,大深町
34.7059,135.225,西灘駅
34.7069,135.197,竹中大工道具館
34.7072,134.877,西二見駅
34.7072,135.499,茶屋町 (大阪市)
34.7085,135.62,ポップタウン住道
34.709,135.526,都島駅
34.7097,135.194,布引の滝
34.71,135.197,神戸第一高等学校
34.7107,135.241,新在家駅
34.7107,135.516,鶴満寺
34.7111,134.86,兵庫県道539号東播磨港線
34.7122,135.212,神戸海星女子学院大学
34.7126,135.379,東鳴尾駅
34.7126,135.469,塚本駅
34.7126,135.456,御幣島駅
34.716,135.42,尼崎市立琴ノ浦高等学校
34.7171,135.147,鈴蘭台車両基地
34.7174,135.363,甲子園阪神パーク
34.718,135.395,尼崎センタープール前駅
34.7182,135.405,出屋敷駅
34.7184,135.439,杭瀬駅
34.7195,135.262,住吉駅 (JR西日本・神戸新交通)
34.7195,135.262,住吉駅 (JR西日本・神戸新交通)
34.7196,135.37,鳴尾駅
34.7196,135.262,住吉駅 (JR西日本・神戸新交通)
34.7196,135.262,住吉駅 (JR西日本・神戸新交通)
34.7196,135.59,稗島の樟
34.7197,135.019,プレンティ
34.72,135.226,山口組
34.7205,134.824,神戸製鋼所加古川製鉄所
34.7238,135.779,石のカラト古墳
34.7241,135.333,西宮砲台
34.7265,135.499,西中島南方駅
34.7271,134.877,大中遺跡
34.7287,135.31,兵庫県立芦屋高等学校
34.7314,134.88,イオンタウン東加古川ショッピングセンター
34.7321,134.836,加古川市立浜の宮小学校
34.7332,135.323,堀切信号場
34.7332,135.432,アミング潮江
34.7381,135.096,川池信号所
34.7381,135.573,パナソニックミュージアム 松下幸之助歴史館
34.7472,134.827,兵庫県道209号鶴林寺線
34.7484,135.071,木幡駅 (兵庫県)
34.7494,135.261,五助堰堤
34.7502,135.329,苦楽園口駅
34.7543,135.348,西宮市立広田小学校
34.7579,134.794,荒井駅 (兵庫県)
34.7579,135.358,門戸厄神駅
34.7579,135.497,江坂駅
34.7603,135.627,大阪電気通信大学
34.7628,134.836,加古川市立加古川図書館
34.7656,135.519,大和大学
34.7671,135.36,甲東園駅
34.7673,134.787,伊保駅
34.7703,134.857,加古川市立氷丘中学校
34.7703,135.023,広野ゴルフ場前駅
34.7758,134.642,新日鐵住金広畑製鐵所
34.7765,134.771,兵庫県道555号曽根阿弥陀線
34.7769,135.786,鞍岡神社
34.7799,134.742,的形駅
34.7803,135.464,豊中市立岡町図書館
34.7803,134.884,甲南加古川病院
34.7807,135.198,大池駅
34.7808,134.795,竜山石採石遺跡
34.7844,135.439,大阪国際空港
34.7864,135.554,摂津市駅
34.7872,134.783,兵庫県道395号曽根魚橋線
34.7903,135.352,宝塚市立図書館
34.7903,135.353,宝塚市立図書館
34.7903,135.366,宝塚市立図書館
34.7933,134.77,曽根駅 (兵庫県)
34.7978,134.628,広畑駅
34.7979,134.998,恵比須駅
34.8042,135.346,宝塚南口駅
34.8107,135.558,イオンモール茨木
34.811,135.352,宝塚市立図書館
34.811,135.353,宝塚市立図書館
34.811,135.366,宝塚市立図書館
34.8153,135.661,百済寺 (枚方市)
34.8169,134.655,西播朝鮮初中級学校
34.8169,134.736,御着駅
34.818,135.427,インスタントラーメン発明記念館
34.818,135.352,宝塚市立図書館
34.818,135.353,宝塚市立図書館
34.818,135.366,宝塚市立図書館
34.8186,135.524,大阪大学
34.8186,135.646,関西医科大学
34.8206,135.425,サンシティ池田
34.8208,135.679,京阪バス枚方営業所
34.8216,134.678,姫路市立手柄小学校
34.8216,135.425,サンシティ池田
34.8254,135.432,大阪府立池田高等学校
34.8266,135.413,川西市立中央図書館
34.8268,134.732,播磨国分尼寺跡
34.8272,134.694,テラッソ姫路
34.8294,134.693,姫路フォーラス
34.8294,135.567,パナソニック プラズマディスプレイ
34.8355,135.226,田尾寺駅
34.8356,135.352,宝塚市立図書館
34.8356,135.353,宝塚市立図書館
34.8356,135.366,宝塚市立図書館
34.8357,134.556,片吹ランプ
34.8413,134.681,姫路少年刑務所
34.8418,134.688,姫路文学館
34.8418,134.689,男山八幡宮 (姫路市)
34.842,134.659,播磨高岡駅
34.86,135.195,イオンモール神戸北
34.8696,134.953,小野市立ひまわりの丘公園
34.8696,135.804,山形県総合運動公園
34.8796,135.713,八幡市立八幡東小学校
34.881,135.774,ウトロ地区
34.8932,135.675,山崎蒸溜所
34.8932,135.746,イオンモール久御山
34.933,135.764,伏見大手筋商店街
34.9569,135.756,竹田駅 (京都府)
34.9668,135.059,上鴨川住吉神社神事舞
34.9669,135.757,京阪バス洛南営業所
34.9697,135.756,任天堂
34.9697,135.756,任天堂情報開発本部
34.9771,135.774,東福寺
34.9879,135.774,養源院
34.9881,135.78,京都女子大学短期大学部
34.991,135.758,東本願寺
34.992,135.744,島原 (京都)
34.9921,135.743,角屋
34.9941,135.776,円通橋
34.9958,135.718,京都光華女子大学
34.9961,135.769,清水五条駅
34.9972,135.756,京都市立格致小学校
34.9974,135.727,イオンモール京都五条
34.0482,134.535,夷山城
34.0735,134.549,そごう徳島店
34.1679,134.618,徳島県鳴門総合運動公園陸上競技場
34.188,135.182,和歌山県立医科大学附属病院
34.2284,135.176,和歌山地方裁判所
34.2336,134.712,若人の広場
34.4112,135.301,りんくう現代美術空間
34.4361,135.586,河内長野市立川上小学校
34.4455,135.712,葛城一言主神社
34.4596,135.558,寺ヶ池公園
34.4727,135.818,川原寺
34.4733,135.821,飛鳥京跡
34.5018,135.427,池上・曽根遺跡
34.5628,135.491,塚廻古墳
34.5653,135.493,三国ヶ丘駅
34.593,135.704,奈良県立高田高等学校王寺分校
34.5974,135.844,天理小学校
34.5977,135.457,新日鐵住金堺製鐵所
34.6218,135.79,奈良県立大和中央高等学校
34.6223,135.584,久宝寺駅
34.6261,135.048,三井アウトレットパーク マリンピア神戸
34.6291,135.054,海神社 (神戸市)
34.6308,135.042,霞ヶ丘駅 (兵庫県)
34.6336,135.517,昭和町駅 (大阪府)
34.6347,135.428,相愛大学
34.6413,135.524,河堀口駅
34.6422,135.769,アピタ大和郡山店
34.6433,135.553,南巽駅
34.6443,135.505,飛田遊廓
34.6458,135.439,港大橋
34.6465,135.008,大蔵谷駅
34.6471,135.506,東組
34.648,135.513,天王寺
34.6488,135.504,動物園前駅
34.6497,134.981,西新町駅
34.6499,135.506,ジャンジャン横丁
34.652,134.965,林崎松江海岸駅
34.6525,135.506,通天閣
34.6527,135.771,久松寺 (大和郡山市)
34.6542,135.493,今宮駅
34.6561,135.498,大国町駅
34.6563,135.524,大阪市立大阪ビジネスフロンティア高等学校
34.6584,135.433,大阪市の公営渡船
34.6608,135.447,大阪プール
34.664,135.501,なんばCITY
34.6647,135.55,今里駅 (近鉄)
34.6655,135.709,南生駒駅
34.6668,135.584,大阪商業大学商業史博物館
34.667,135.506,近鉄日本橋駅
34.6672,135.5,難波
34.6677,134.968,岩佐家住宅
34.6681,135.541,大阪市立東成図書館
34.6683,135.715,小瀬料金所
34.6685,135.503,道頓堀角座
34.6691,135.501,戎橋
34.6696,135.214,神戸市立港島中学校
34.6702,135.143,兵庫県立長田高等学校
34.6706,135.82,イオンタウン大安寺
34.6715,135.436,新日鐵住金製鋼所
34.6719,135.525,円珠庵
34.673,135.844,奈良教育大学
34.6732,135.207,中公園駅
34.6736,135.532,玉造 (大阪市)
34.6749,135.517,谷町六丁目駅
34.6751,135.83,藤岡家住宅
34.6754,135.844,奈良教育大学附属小学校
34.6758,135.841,閼伽井庵
34.6769,135.843,赤穂神社
34.6775,135.227,神戸港
34.6781,135.521,大槻能楽堂
34.6788,135.592,長田駅 (大阪府)
34.6792,135.183,Umie
34.6794,135.165,神戸市立湊川中学校
34.6796,135.182,ダイヤニッセイビル
34.6807,135.828,古梅園
34.6818,135.827,シネマデプト友楽
34.682,135.835,影向の松 (春日大社)
34.6831,135.863,春日山原始林
34.6839,135.843,奈良県新公会堂
34.685,135.506,堺筋野村ビルディング
34.6852,135.837,吉城園
34.6854,135.506,第二野村ビルディング
34.6858,135.144,丸山駅 (兵庫県)
34.6869,135.057,流通科学大学
34.688,135.563,放出駅
34.6886,135.534,大阪城公園駅
34.6893,134.902,山陽魚住駅
34.6914,135.507,大阪取引所
34.6916,135.507,北浜駅 (大阪府)
34.6936,135.497,フェスティバルホール
34.694,135.524,大阪市公館
34.6942,135.759,蛙股池
34.6944,135.476,野田駅 (阪神)
34.6946,135.475,野田阪神駅
34.695,135.785,ならファミリー
34.6953,135.384,尼崎の森中央緑地
34.6957,135.739,百楽荘 (奈良県の旅館)
34.6959,135.066,太山寺安養院庭園
34.6961,135.521,天満本願寺
34.6963,135.53,KiKi京橋
34.697,135.532,京阪モール
34.6974,135.513,大阪天満宮駅
34.6976,135.504,宇治電ビルディング
34.6978,135.501,同和ビルヂング
34.6987,135.186,神戸外国倶楽部
34.6993,135.807,奈良基地
34.6998,135.19,北野物語館
34.7,135.497,梅田
34.7004,135.548,蒲生四丁目駅
34.7013,135.192,神戸北野美術館
34.7025,135.554,大阪電気軌道四条畷線
34.704,135.5,HEP
34.7043,135.574,大阪市立鶴見図書館
34.7058,135.766,奈良県立奈良工業高等学校
34.7068,135.501,梅田ゲートタワー
34.7085,135.518,都島橋
34.7107,135.81,平城山駅
34.7109,135.511,天六
34.7113,135.412,新日鐵住金尼崎製造所
34.7122,135.593,三井アウトレットパーク 大阪鶴見
34.716,135.481,大阪市立淀川図書館
34.7165,135.426,大物駅
34.7169,135.592,門真南駅
34.7186,135.22,河内国魂神社
34.7194,135.247,神戸市バス石屋川営業所
34.7199,135.483,十三駅
34.7212,135.596,薫蓋クス
34.7237,135.146,鈴蘭台駅
34.7248,135.261,禍福無門の碑
34.7257,135.135,西鈴蘭台駅
34.7269,135.612,京阪バス門真営業所
34.7276,135.213,摩耶観光ホテル
34.728,135.155,神戸親和女子大学
34.7282,135.511,柴島駅
34.7302,134.851,別府駅 (兵庫県)
34.7316,135.432,尼崎駅 (JR西日本)
34.7344,135.329,香櫨園駅
34.7368,135.339,エビスタ西宮
34.7376,135.181,神戸市立森林植物園
34.7381,135.564,守口駅
34.7409,134.834,浜の宮駅
34.7458,134.869,東加古川駅
34.7471,135.08,見津車庫
34.7473,135.871,常念寺
34.7486,135.58,イオンモール大日
34.7494,135.578,大日駅
34.7565,135.791,来迎寺 (京都府精華町)
34.7569,135.156,箕谷駅
34.7599,135.793,新祝園駅
34.7608,135.352,神戸女学院大学
34.7618,135.171,谷上駅
34.7723,134.553,新舞子海水浴場
34.7796,135.472,大塚公園 (豊中市)
34.7807,135.789,狛田駅
34.7813,134.8,高砂市総合運動公園
34.7841,134.722,八家駅
34.7847,135.631,香里園駅
34.7873,135.456,豊中グラウンド
34.7903,135.39,宝塚市立図書館
34.7978,135.429,エアフロントオアシス下河原
34.7993,135.246,有馬温泉駅
34.7997,134.982,三木駅 (神戸電鉄)
34.8078,135.403,川西駐屯地
34.8087,134.971,大村駅 (兵庫県)
34.8098,135.495,千里中央駅
34.8106,135.495,豊中市立千里図書館
34.8153,135.58,茨木ショッピングタウン
34.8158,134.687,姫路市消防局
34.8168,135.461,桜井駅 (大阪府)
34.8196,134.932,市場駅 (JR西日本)
34.82,134.681,手柄駅
34.8205,134.95,樫山駅
34.8215,135.222,岡場駅
34.8288,134.69,山陽姫路駅
34.8355,135.545,郡山宿本陣
34.8434,134.651,グローリー (企業)
34.8517,135.618,高槻駅
34.8564,135.631,安満遺跡
34.8577,135.7,八幡市立八幡第四小学校
